en-US=abacus	zh=算盘
en-US=absent	zh=缺席
en-US=abstract	zh=抽象
en-US=abundance	es-ES=abundancia
en-US=accident	es-ES=accidente
en-US=accumulate	zh=积累
en-US=activate	zh=激活
en-US=actress	es-ES=actriz
en-US=address	zh=地址
en-US=adenosine	zh=腺苷
en-US=afternoon	zh=下午
en-US=agenda	zh=议程
en-US=agriculture	es-ES=agricultura
en-US=agriculture	zh=农业
en-US=airline	zh=航空公司
en-US=airport	es-ES=aeropuerto
en-US=album	es-ES=álbum
en-US=alcohol	es-ES=alcohol
en-US=allergy	zh=过敏
en-US=alliance	zh=同盟
en-US=aluminium	es-ES=aluminio
en-US=ambassador	zh=大使
en-US=amen	es-ES=amén
en-US=analysis	es-ES=análisis
en-US=analyze	es-ES=analizar
en-US=analyze	zh=分析
en-US=anatomy	es-ES=anatomía
en-US=anniversary	es-ES=aniversario
en-US=antelope	zh=羚羊
en-US=antenna	es-ES=antena
en-US=anthem	es-ES=himno
en-US=anthropology	es-ES=antropología
en-US=anyone	zh=何人
en-US=aperture	zh=光圈
en-US=apron	zh=围裙
en-US=archbishop	es-ES=arzobispo
en-US=archer	es-ES=arquero
en-US=architecture	es-ES=arquitectura
en-US=architecture	zh=建筑学
en-US=armrest	es-ES=brazo
en-US=artery	zh=动脉
en-US=artillery	es-ES=artillería
en-US=artillery	zh=火炮
en-US=artist	es-ES=artista
en-US=asbestos	zh=石棉
en-US=asleep	es-ES=dormido
en-US=asparagus	zh=芦笋
en-US=asthma	es-ES=asma
en-US=astronomer	zh=天文学家
en-US=atom	zh=原子
en-US=atrium	zh=心房
en-US=aurora	es-ES=aurora
en-US=auteur	es-ES=autor
en-US=autonomy	es-ES=autonomía
en-US=backboard	zh=篮板
en-US=background	zh=背景
en-US=backup	zh=备份
en-US=backyard	zh=后院
en-US=bacteria	es-ES=bacterias
en-US=bacteria	zh=细菌
en-US=balcony	zh=阳台
en-US=baptist	es-ES=bautista
en-US=barbershop	zh=理发店
en-US=barley	zh=大麦
en-US=baseball	es-ES=béisbol
en-US=baseball	zh=棒球
en-US=baseline	es-ES=referencia
en-US=baseline	zh=底线
en-US=basketball	zh=篮球
en-US=bassinet	es-ES=moisés
en-US=bathroom	zh=浴室
en-US=bedstead	es-ES=cama
en-US=beef	zh=牛肉
en-US=belief	es-ES=creencia
en-US=believe	zh=相信
en-US=bellboy	es-ES=botones
en-US=bench	zh=长椅
en-US=bikini	zh=比基尼
en-US=bimbo	zh=小妞
en-US=biology	es-ES=biología
en-US=biology	zh=生物学
en-US=birdcage	es-ES=jaula
en-US=biscuit	zh=饼干
en-US=blackberry	zh=黑莓
en-US=blackboard	zh=黑板
en-US=blacksmith	zh=铁匠
en-US=blanket	zh=毯子
en-US=boffin	zh=科学家
en-US=bookmark	zh=书签
en-US=booster	zh=运载火箭
en-US=breakthrough	zh=突破
en-US=breathe	es-ES=respirar
en-US=brigade	es-ES=brigada
en-US=broth	zh=肉汤
en-US=bugle	es-ES=clarín
en-US=bulkhead	zh=隔壁
en-US=bulletin	es-ES=boletín
en-US=bullet	zh=子弹
en-US=bungalow	zh=平房
en-US=cabinet	zh=内阁
en-US=cactus	zh=仙人掌
en-US=calcium	es-ES=calcio
en-US=camel	zh=骆驼
en-US=campaign	es-ES=campaña
en-US=campus	zh=校园
en-US=canary	es-ES=canario
en-US=cancer	es-ES=cáncer
en-US=cancer	zh=癌症
en-US=candidacy	es-ES=candidatura
en-US=capacitor	zh=电容器
en-US=capitalist	es-ES=capitalista
en-US=caribou	zh=驯鹿
en-US=carpet	zh=地毯
en-US=carton	zh=纸箱
en-US=catastrophe	es-ES=catástrofe
en-US=category	es-ES=categoría
en-US=cavalryman	es-ES=soldado
en-US=cave	es-ES=cueva
en-US=celery	zh=芹菜
en-US=cellulose	zh=纤维素
en-US=census	es-ES=censo
en-US=century	zh=世纪
en-US=cerebrum	zh=大脑
en-US=ceremony	es-ES=ceremonia
en-US=certificate	es-ES=certificado
en-US=chairman	es-ES=presidente
en-US=chair	zh=椅子
en-US=chancellor	es-ES=canciller
en-US=chandelier	zh=吊灯
en-US=chaos	es-ES=caos
en-US=chart	zh=图表
en-US=chemistry	es-ES=química
en-US=choir	es-ES=coro
en-US=cholesterol	es-ES=colesterol
en-US=cholesterol	zh=胆固醇
en-US=choline	es-ES=colina
en-US=choline	zh=胆碱
en-US=chronicle	es-ES=crónica
en-US=cigarette	es-ES=cigarrillo
en-US=circus	es-ES=circo
en-US=civil	es-ES=civil
en-US=classroom	es-ES=aula
en-US=cleanup	es-ES=limpieza
en-US=clergy	es-ES=clero
en-US=climate	es-ES=clima
en-US=climate	zh=气候
en-US=cloudy	zh=多云
en-US=cocaine	es-ES=cocaína
en-US=cocktail	zh=鸡尾酒
en-US=collaborate	es-ES=colaborar
en-US=colony	es-ES=colonia
en-US=coma	es-ES=coma
en-US=comedy	es-ES=comedia
en-US=comedy	zh=喜剧
en-US=commando	zh=特种兵
en-US=commerce	es-ES=comercio
en-US=commonwealth	zh=联邦
en-US=communicate	zh=沟通
en-US=communist	es-ES=comunista
en-US=comparison	es-ES=comparación
en-US=compass	zh=指南针
en-US=compatible	es-ES=compatible
en-US=compete	es-ES=competir
en-US=compete	zh=竞争
en-US=competitor	zh=选手
en-US=concept	es-ES=concepto
en-US=concerto	es-ES=concierto
en-US=connect	es-ES=conectar
en-US=conquest	es-ES=conquista
en-US=consensus	es-ES=consenso
en-US=consensus	zh=共识
en-US=considerate	es-ES=considerado
en-US=consortium	es-ES=consorcio
en-US=conspiracy	es-ES=conspiración
en-US=constituent	es-ES=constituyente
en-US=constituent	zh=成分
en-US=consultant	zh=顾问
en-US=consumer	es-ES=consumidor
en-US=consumer	zh=消费者
en-US=contact	es-ES=contacto
en-US=contemplate	es-ES=contemplar
en-US=contents	es-ES=contenido
en-US=contents	zh=内容
en-US=continent	es-ES=continente
en-US=contingent	es-ES=contingente
en-US=contribute	es-ES=contribuir
en-US=contribute	zh=贡献
en-US=convince	es-ES=convencer
en-US=corolla	zh=花冠
en-US=corpus	es-ES=corpus
