三角形	三角形
下巴	下巴
企鹅	企鹅
伤心	伤心
侄女	侄女
假发	假发
僵硬	僵硬
公主	公主
公园	公园
典当	典当
出租车	出租车
割草机	割草机
勇敢	勇敢
午餐	午餐
厨师	厨师
吉他	吉他
向日葵	向日葵
咳嗽	咳嗽
喇叭	喇叭
回合	回合
回收	回收
土豆	土豆
地毯	地毯
地震	地震
垃圾	垃圾
垒球	垒球
基础	基础
多雾路段	多雾路段
大号	大号
女孩	女孩
女王	女王
婚礼	婚礼
婴儿床	婴儿床
字典	字典
学生	学生
宇航员	宇航员
安静	安静
宝藏	宝藏
害怕	害怕
小憩	小憩
小提琴	小提琴
屋顶	屋顶
工具	工具
巧克力	巧克力
广场	广场
床垫	床垫
开机	开机
弹簧	弹簧
快乐的	快乐的
快速	快速
性质	性质
怪物	怪物
总统	总统
手套	手套
手提箱	手提箱
手电筒	手电筒
报纸	报纸
拖拉机	拖拉机
拳头	拳头
摄影师	摄影师
摩托车	摩托车
故事	故事
教练	教练
旅行	旅行
无线电	无线电
曲棍球	曲棍球
木偶	木偶
机器人	机器人
条纹	条纹
桃子	桃子
棒球	棒球
椰子	椰子
歌手	歌手
歌曲	歌曲
比萨	比萨
毛皮	毛皮
沉船	沉船
泡沫	泡沫
洒水器	洒水器
洗衣房	洗衣房
派对	派对
海滩	海滩
海狸	海狸
海盗	海盗
消防队员	消防队员
滑冰	滑冰
滑板	滑板
滑稽	滑稽
滑雪	滑雪
火山	火山
火炉	火炉
火炬	火炬
火烈鸟	火烈鸟
灯塔	灯塔
炸弹	炸弹
煤炭	煤炭
照片	照片
牙医	牙医
牛仔	牛仔
犀牛	犀牛
狮子	狮子
猫头鹰	猫头鹰
王座	王座
瓶子	瓶子
电力	电力
电池	电池
电脑	电脑
白色	白色
皮带	皮带
盘子	盘子
直升机	直升机
相机	相机
眨眼	眨眼
睡衣	睡衣
短裙	短裙
码头	码头
破碎	破碎
礼炮	礼炮
祖父	祖父
种族	种族
粉笔	粉笔
糖果	糖果
绿色	绿色
编织	编织
美元	美元
肥皂	肥皂
背心	背心
胡椒	胡椒
脸颊	脸颊
腰部	腰部
膝盖	膝盖
自助餐厅	自助餐厅
自行车	自行车
舞蹈	舞蹈
艺术家	艺术家
花园	花园
苏打	苏打
茶壶	茶壶
菠萝	菠萝
萝卜	萝卜
蓝色	蓝色
蘑菇	蘑菇
蛋糕	蛋糕
蜂窝	蜂窝
蜘蛛	蜘蛛
衬衫	衬衫
西兰花	西兰花
西瓜	西瓜
计算器	计算器
认为	认为
谷仓	谷仓
象牙	象牙
贝壳	贝壳
购物	购物
跳房子	跳房子
跷跷板	跷跷板
运动员	运动员
邮件	邮件
邮箱	邮箱
酸橙	酸橙
钢琴	钢琴
钱包	钱包
铅笔	铅笔
镜子	镜子
长椅	长椅
长笛	长笛
间谍	间谍
阴影	阴影
雀斑	雀斑
青蛙	青蛙
静音	静音
面对	面对
音乐	音乐
风暴	风暴
风车	风车
飞机	飞机
饥饿	饥饿
马戏团	马戏团
魔法	魔法
鲨鱼	鲨鱼
黄铜	黄铜
龙卷风	龙卷风
龙虾	龙虾
