abuelo	grandfather,grandpa,grandparent,pa
aeronave	aircraft
alfombra	rug,carpet
almuerzo	lunch,dinner,luncheon
antorcha	torch
araña	spider
artista	artist,performer,star
aspersor	sprinkler
astronauta	astronaut,spaceman
asustado	scared,afraid,psyched
atleta	athlete
azul	blue
baile	dance,ball,ballet
balancín	seesaw,teeter-totter
barbilla	chin,pull-up
base	base,basis,foundation,ground,mound,point,rootstock
basura	garbage,bin,crap,crud,debris,junk,refuse,trash,waste
batería	battery,breach,drum,drummer,set
béisbol	baseball
bicicleta	bicycle
billetera	wallet
blanco	white,argent,blank,poltroon,silver,target,white
boda	wedding,marriage,matrimony
bolso	purse,handbag
bomba	bomb,balloon,bombshell,gas,pump
bombero	firefighter,fireman
bota	boot,bladder,bota,wineskin
botella	bottle,tipple
brócoli	broccoli
búho	owl
burbuja	bubble
buzón	mailbox,dropbox,letterbox
cafetería	cafeteria,café
calculadora	calculator
cámara	camera,cameraman,chamber,inner
camisa	shirt,mantle
canción	song
cantante	singer,songstress
cara	face,clock,heads
carbón	coal,carbon,charcoal
carrera	race,career,derby,dropout,ladder,lane,part,run
castor	beaver
chaleco	vest,jerkin,jumper,sweater,waistcoat
chocolate	chocolate,cocoa,hash,hot
cintura	waist
circo	circus,cwm
cocinar	cook
coco	coconut,bogeyman,coccus,head,owie,whangdoodle
colchón	mattress,cushion,nest
colmena	beehive,morel
colmillo	fang,canine,cuspid,tusk,tusk
compras	shopping
computadora	computer
concha	seashell,conch,cunt,pussy,shell
contento	happy,content,glad
correa	leash,belt,purlin,strap
correo	mail,email
cortacésped	lawnmower
cuadrado	square,musclebound
cuna	crib,cot,cradle,fold
dentista	dentist
diccionario	dictionary
dólar	dollar
dulce	candy,dessert,dulcet,fresh,fudge,sweet,sweetmeat
electricidad	electricity,power
empeñar	pawn,insist,pledge
entrenador	coach,trainer
espejo	mirror
espiar	spy,peep,snoop
esquí	ski
estudiante	student,alumna,dropout,undergraduate
estufa	stove,cooker,fire,range
falda	skirt,bit,brisket
faro	lighthouse,headlight,opossum
fiesta	party,feast,fiesta,gala,gathering,holiday
flamenco	flamingo,flamenco,Flemish
flauta	flute,pipe
fotografía	photograph,photography,picture,snap
fotógrafo	photographer
girasol	sunflower
gracioso	funny,amusing,cute
granero	barn,garner,granary,mow
guiño	wink
guitarra	guitar,guitarist
hambriento	hungry
helicóptero	helicopter,chopper
herramienta	tool,implement,instrument,loom
historia	story,history,tale,yarn
hockey	hockey
jabón	soap
jardín	garden,outfield
langosta	lobster,locust,spiny
lápiz	pencil
latón	brass,hackberry
lavandería	laundry,launderette
león	lion
lima	lime,file
linterna	flashlight,lantern
magia	magic,mojo,sorcery,Wicca
maleta	suitcase,case,portmanteau,trunk,valise
marioneta	puppet,marionette,stooge
mejilla	cheek
melocotón	peach
mitón	mitten
molino	windmill,mill
monstruo	monster,fiend,juggernaut
motocicleta	motorcycle,moped
mudo	mute,speechless,voiceless
muelle	dock,landing,mole,pier,quay,soft,spring,wharf
música	music
naturaleza	nature,environment,wilderness
naufragio	shipwreck
niebla	fog,mist
niña	girl,baby,child,girlish,lass,little
parque	park
pastel	cake,fair,pastry,pie
patata	potato,cheese
patinar	skate,patine,skid
patineta	skateboard,scooter
peca	freckle
peluca	wig,peruke
pensar	think,plan
periódico	newspaper,periodic,recurring
piano	piano
piel	fur,fleece,hide,skin
pijama	pajamas
pimienta	pepper
piña	pineapple,pinecone
pingüino	penguin
pirata	pirate
pizza	pizza
plato	plate,course,cymbal,dish,platter
playa	beach,sand,strand
presidente	president,chairman,chairperson
primavera	spring,primrose,springtime
princesa	princess,runner-up
puño	fist,cuff
rábano	radish
radio	radio,airwaves,beam,futtock,radium,radius,spoke
rana	frog
rápido	fast,briskly,cursory,prompt,quick,quickly,rapid,speedy,swift
raya	stripe,confine,crack,crease,dash,gluteal,part,ray,streak
rayuela	hopscotch
reciclar	recycle
redondo	round
reina	queen
rígido	stiff,dour,stark,stringent
rinoceronte	rhinoceros
robot	robot
rodilla	knee
roto	broken,hood,knackered
saludo	salute,greeting
sandía	watermelon
seta	mushroom
siesta	nap,kip,siesta,snooze
sobrina	niece
soda	soda
sofá	couch,settee,sofa
sofbol	softball
sombra	shadow,ghost,shade
taxi	taxi
techo	roof,ceiling
terremoto	earthquake,tremor
tesoro	treasure,cutie,hoard,honey,treasury
tetera	teapot,teakettle
tiburón	shark
tiza	chalk
tormenta	storm,rainstorm,squall,thunderstorm
tornado	tornado
tos	cough
tractor	tractor
tranquilo	quiet,affable,composed,cool,forget,gentle,peaceful,relaxed,smooth,tranquil
trenza	braid,braids,lace,pigtail,plait,tress
triángulo	triangle
triste	sad,blue,dismal,doleful,joyless,lugubrious,plaintive,plangent,ruthful,sickly,sorrowful
trompeta	trumpet,trumpeter
trono	throne
tuba	tuba
valiente	brave,gallant,outspoken,plucky,stalwart,valiant
vaquero	cowboy,cowherd,herdsman
verde	green,blue,dirty,fescennine,greenness
viaje	trip,journey,travel,voyage
violín	violin,fiddle
volcán	volcano
